Client_id,Parent,Race,Employed,Adults,Children,Income,NofCases,Age,Score,Days,English,Gender,Primary,Transportation,Services,Dropout
686,Two parent family,Black or African American,No,2,5,0,7,39,170,83,,Female,Somali,Yes,34,Yes
689,Two parent family,Black or African American,Yes,2,2,20800,4,45,175,344,Well,Male,Amharic,Yes,211,No
723,Two parent family,Hispanic/Latino,No,2,2,0,4,44,95,266,Not Well,Female,Spanish,No,185,No
727,Two parent family,Black or African American,Yes,3,3,7648,6,51,220,243,,Male,Creole,Yes,204,No
754,Two parent family,Bi-racial/Multi-racial,Yes,2,3,13250,5,45,195,7,,Female,English,Yes,4,No
763,Two parent family,Hispanic/Latino,Yes,2,2,14190,4,32,230,281,Not Well,Female,Spanish,Yes,272,No
764,Two parent family,,Yes,2,2,13520,4,41,250,92,,Female,Arabic,Yes,69,No
772,Two parent family,Black or African American,Yes,2,2,24036,4,42,65,249,Very Well,Male,English,Yes,4,Yes
795,Two parent family,Hispanic/Latino,Yes,2,2,15600,4,49,185,261,Not Well,Female,Spanish,Yes,204,No
802,Two parent family,Black or African American,Yes,1,2,32627,3,34,190,249,Very Well,Female,English,Yes,56,No
805,Two parent family,White,Yes,1,1,13000,2,35,195,32,Well,Female,Portuguese,No,20,No
819,Two parent family,Asian,No,2,1,0,3,40,150,347,Well,Female,Nepali,Yes,100,Yes
831,Two parent family,Asian,Yes,2,2,18999,4,36,185,7,Very Well,Male,Urdu,Yes,5,Yes
835,Two parent family,Other,Yes,3,2,29487,5,50,10,262,,Male,Arabic,Yes,144,No
858,Two parent family,Asian,No,2,2,0,4,47,105,7,Very Well,Female,Nepali,No,2,No
880,Single parent (mother figure only),Black or African American,Yes,1,1,13277,2,32,280,90,,Female,English,Yes,25,No
888,Single parent (mother figure only),Hispanic/Latino,Yes,2,2,32640,4,36,230,34,,Female,Spanish,No,24,Yes
892,Single parent (mother figure only),Hispanic/Latino,Yes,2,2,20124,4,34,435,267,Not Well,Female,Spanish,Yes,241,No
904,Two parent family,Hispanic/Latino,Yes,2,2,22970,4,37,195,267,Not At All,Female,Spanish,Yes,176,No
915,Two parent family,Black or African American,Yes,2,1,33000,3,45,165,12,Very Well,Male,Amharic,Yes,9,No
936,Two parent family,White,Yes,2,2,42448,4,49,25,231,Well,Male,Arabic,Yes,189,No
948,Single parent (mother figure only),Black or African American,Yes,1,1,34210,2,43,235,122,,Female,Amharic,Yes,44,Yes
952,Two parent family,Other,Yes,2,3,19795,5,47,95,281,Not Well,Female,Portuguese,Yes,272,No
965,Two parent family,White,Yes,2,2,22173,4,37,280,21,Well,Male,Arabic,Yes,17,No
1007,Two parent family,Black or African American,Yes,1,3,19419,4,43,175,265,,Female,Creole,Yes,164,No
1011,Two parent family,Hispanic/Latino,Yes,2,2,21409,4,38,95,267,Not Well,Female,Spanish,Yes,176,No
1014,Two parent family,Black or African American,Yes,2,3,29554,5,36,90,266,,Female,Arabic,Yes,201,No
1020,Two parent family,Other,Yes,2,2,21965,4,40,160,344,Well,Female,Arabic,Yes,216,No
1022,Two parent family,Asian,Yes,2,1,18647,3,43,65,342,Very Well,Female,Nepali,Yes,243,No
1059,Two parent family,Asian,Yes,2,1,44368,3,48,190,264,,Male,Gujarati,No,7,Yes
1066,Single parent (mother figure only),White,No,2,3,0,5,35,385,265,,Female,English,Yes,194,No
1074,Single parent (mother figure only),Asian,Yes,1,2,38400,3,36,185,7,Very Well,Female,Hindi,Yes,2,Yes
1087,Single parent (mother figure only),Hispanic/Latino,Yes,1,1,28329,2,37,85,266,,Female,Spanish,Yes,243,No
1096,Two parent family,Asian,Yes,2,2,22880,4,50,175,265,Very Well,Male,Nepali,Yes,220,No
1100,Two parent family,Asian,Yes,2,2,32232,4,38,105,199,Well,Female,Mandarin,Yes,80,Yes
1116,Single parent (mother figure only),White,Yes,1,2,28904,3,41,195,247,,Female,English,No,67,Yes
1118,Single parent (mother figure only),Hispanic/Latino,Yes,1,3,20065,4,39,165,265,Not Well,Female,Spanish,Yes,184,No
1129,Two parent family,Asian,Yes,2,1,24040,3,42,10,202,,Male,Nepali,No,40,No
1134,Two parent family,Black or African American,Yes,2,3,30914,5,43,85,266,,Female,Somali,Yes,216,No
1142,Two parent family,Hispanic/Latino,Yes,2,1,10920,3,45,200,324,,Female,Spanish,Yes,24,No
1148,Two parent family,White,No,2,3,0,5,34,265,84,Not At All,Female,Spanish,Yes,52,Yes
1153,Single parent (mother figure only),Asian,No,2,2,0,4,46,115,267,,Female,Urdu,Yes,163,No
1156,Single parent (mother figure only),Hispanic/Latino,Yes,1,1,46041,2,33,215,324,,Female,English,Yes,19,No
1160,Single parent (mother figure only),Hispanic/Latino,Yes,1,3,27884,4,44,205,324,,Female,English,Yes,90,No
1162,Single parent (mother figure only),Hispanic/Latino,Yes,1,1,18002,2,33,85,91,,Female,Spanish,Yes,57,Yes
1174,Single parent (mother figure only),Other,No,1,2,0,3,39,800,13,Very Well,Female,Portuguese,Yes,5,No
1175,Two parent family,Hispanic/Latino,No,5,4,0,9,50,80,262,Not Well,Female,Spanish,Yes,248,No
1180,Two parent family,Asian,Yes,2,2,57709,4,45,180,265,Very Well,Male,Other,Yes,135,No
1195,Single parent (mother figure only),Hispanic/Latino,No,1,3,0,4,40,335,281,,Female,Spanish,Yes,168,No
1205,Single parent (mother figure only),White,Yes,1,3,31200,4,40,210,324,,Female,English,No,42,No
1211,Single parent (mother figure only),Black or African American,Yes,1,1,17977,2,36,65,246,,Female,Amharic,No,1,Yes
1218,Two parent family,Black or African American,Yes,2,2,18720,4,40,260,267,Well,Male,Other,No,104,No
1219,Two parent family,Other,Yes,2,4,20800,6,38,200,267,Not At All,Female,Portuguese,Yes,204,No
1220,Two parent family,Other,Yes,2,2,18694,4,39,155,265,Not Well,Female,Portuguese,Yes,240,No
1224,Two parent family,White,Yes,2,1,15600,3,40,165,252,,Male,Portuguese,No,13,Yes
1227,Single parent (mother figure only),Hispanic/Latino,Yes,1,2,41764,3,38,695,92,,Female,Spanish,No,75,Yes
1231,Single parent (mother figure only),Hispanic/Latino,Yes,1,2,14011,3,45,170,21,,Female,Spanish,Yes,13,No
1233,Two parent family,White,Yes,2,3,36000,5,47,210,255,Well,Female,Arabic,Yes,216,No
1235,Single parent (mother figure only),Asian,Yes,1,2,15189,3,48,165,255,,Female,Urdu,Yes,27,Yes
1241,Two parent family,White,Yes,2,2,28932,4,34,240,267,Very Well,Female,English,Yes,156,No
1244,Two parent family,Other,Yes,2,1,12148,3,51,200,35,,Male,Hindi,Yes,29,Yes
1250,Two parent family,White,No,2,3,0,5,39,265,146,,Female,Arabic,Yes,128,No
1255,Single parent (mother figure only),Hispanic/Latino,Yes,1,1,19136,2,31,80,267,,Female,Spanish,Yes,297,No
1264,Two parent family,Hispanic/Latino,Yes,2,2,22964,4,44,175,267,Well,Male,Spanish,Yes,68,No
1265,Two parent family,Other,Yes,2,2,21036,4,38,155,342,,Female,Portuguese,No,172,No
1269,Two parent family,White,Yes,1,1,14560,2,44,205,261,,Female,Portuguese,Yes,80,No
1274,Two parent family,Asian,Yes,2,1,26075,3,42,85,232,,Male,Nepali,Yes,7,No
1277,Two parent family,Other,Yes,2,2,41541,4,44,195,43,,Female,Arabic,Yes,40,No
1293,Two parent family,Black or African American,Yes,2,3,24388,5,36,195,154,,Male,English,Yes,24,Yes
1300,Single parent (mother figure only),Hispanic/Latino,Yes,1,3,37128,4,47,35,48,,Female,Spanish,Yes,15,No
1301,Two parent family,Black or African American,No,2,2,0,4,56,190,265,Well,Male,Creole,Yes,236,No
1305,Two parent family,Asian,Yes,2,2,22352,4,44,195,277,,Female,Vietnamese,Yes,66,Yes
1306,Two parent family,Asian,Yes,3,2,36725,5,36,10,108,,Female,Bengali,Yes,82,No
1319,Two parent family,Hispanic/Latino,Yes,2,1,16120,3,45,165,242,,Female,Spanish,Yes,24,Yes
1331,Two parent family,White,No,3,3,0,6,36,10,339,Well,Female,Portuguese,Yes,296,No
1337,Two parent family,Black or African American,Yes,2,2,21560,4,57,185,286,,Male,Arabic,No,9,Yes
1338,Two parent family,Black or African American,Yes,2,3,10608,5,44,65,344,Very Well,Female,Amharic,Yes,212,No
1339,Single parent (mother figure only),White,Yes,1,1,35334,2,38,205,324,,Female,Portuguese,Yes,17,No
1341,Single parent (mother figure only),Black or African American,Yes,1,1,20794,2,41,65,7,,Female,English,Yes,5,No
1342,Single parent (mother figure only),Black or African American,No,1,2,0,3,34,200,74,,Female,English,Yes,17,Yes
1347,Two parent family,White,Yes,2,1,34560,3,37,85,282,,Female,English,Yes,7,No
1348,Two parent family,White,No,2,2,0,4,43,195,265,,Male,English,Yes,224,No
1350,Two parent family,Black or African American,No,2,3,0,5,47,25,266,,Female,Creole,Yes,16,No
1353,Two parent family,White,Yes,2,2,23036,4,45,175,267,,Female,English,Yes,236,No
1356,Two parent family,White,Yes,2,2,23510,4,53,185,224,,Male,Portuguese,Yes,196,No
1358,Two parent family,Hispanic/Latino,Yes,2,1,18486,3,40,155,246,,Female,Spanish,Yes,2,Yes
1362,Single parent (mother figure only),Black or African American,Yes,1,1,17821,2,43,75,169,,Female,Creole,Yes,23,No
1365,Single parent (mother figure only),Black or African American,Yes,1,2,15825,3,46,320,324,,Female,Creole,Yes,54,No
1369,Two parent family,Other,Yes,2,2,31384,4,48,55,265,,Male,Portuguese,Yes,228,No
1388,Two parent family,Black or African American,Yes,2,2,40296,4,54,75,155,,Female,Arabic,Yes,2,No
1394,Single parent (mother figure only),Black or African American,Yes,1,2,15349,3,31,185,339,Very Well,Female,English,Yes,172,No
1399,Two parent family,Black or African American,Yes,2,2,13466,4,53,180,267,Very Well,Male,Somali,Yes,88,No
1400,Single parent (mother figure only),Asian,Yes,1,2,35433,3,44,165,262,,Female,Punjabi,Yes,2,Yes
1403,Two parent family,Asian,Yes,2,1,17443,3,38,265,39,Very Well,Female,Other,No,21,No
1405,Two parent family,Other,Yes,2,1,23396,3,51,145,281,Well,Female,Arabic,Yes,72,Yes
1413,Two parent family,Black or African American,Yes,2,3,36542,5,47,180,7,Well,Female,Amharic,Yes,4,Yes
1414,Single parent (father figure only),White,Yes,1,3,21861,4,55,365,324,Very Well,Male,English,Yes,54,No
1416,Two parent family,Hispanic/Latino,Yes,2,2,18135,4,41,150,267,,Female,Spanish,Yes,260,No
1425,Two parent family,Hispanic/Latino,No,2,3,0,5,46,295,21,Not Well,Female,Spanish,Yes,4,No
1429,Single parent (mother figure only),White,Yes,1,1,28528,2,31,450,187,,Female,English,Yes,56,Yes
1430,Two parent family,White,Yes,2,1,18200,3,30,175,206,Very Well,Female,English,Yes,4,Yes
1432,Single parent (mother figure only),Black or African American,No,1,3,0,4,47,270,7,,Female,Creole,Yes,1,No
1433,Two parent family,White,Yes,2,2,14248,4,45,160,12,Very Well,Male,Other,Yes,11,No
1435,Single parent (mother figure only),Black or African American,No,1,1,0,2,33,200,22,Very Well,Female,English,Yes,9,No
1443,Two parent family,Hispanic/Latino,Yes,2,1,16217,3,31,225,151,Not Well,Male,Spanish,Yes,98,No
1444,Two parent family,Other,Yes,2,2,27436,4,45,190,101,,Female,Albanian,Yes,84,Yes
1446,Two parent family,Asian,Yes,2,2,14678,4,44,65,267,,Male,Punjabi,Yes,256,No
1454,Two parent family,Other,Yes,2,2,18200,4,44,195,228,Not Well,Male,Portuguese,Yes,6,No
1461,Single parent (mother figure only),Black or African American,Yes,1,1,47446,2,37,195,128,Not Well,Female,Amharic,Yes,10,No
1462,Two parent family,Asian,Yes,2,2,19616,4,51,105,220,,Male,Bengali,Yes,205,Yes
1470,Two parent family,Other,Yes,2,1,36400,3,53,145,222,Very Well,Male,Portuguese,Yes,14,Yes
1475,Two parent family,Asian,Yes,2,2,54792,4,51,85,253,Very Well,Male,Nepali,Yes,13,No
1478,Two parent family,Hispanic/Latino,Yes,2,1,16296,3,42,105,276,,Male,Spanish,No,288,No
1481,Two parent family,Hispanic/Latino,No,2,2,0,4,41,95,325,,Female,Spanish,Yes,216,Yes
1484,Two parent family,Asian,Yes,2,1,21600,3,43,85,186,Very Well,Female,Chinese,Yes,12,No
1485,Two parent family,Hispanic/Latino,Yes,2,2,35200,4,49,190,55,Not At All,Female,Spanish,No,4,No
1491,Single parent (mother figure only),White,Yes,1,2,27462,3,35,100,266,,Female,Portuguese,Yes,260,No
1493,Two parent family,Black or African American,Yes,1,3,13187,4,47,155,349,,Female,Somali,Yes,176,Yes
1494,Single parent (mother figure only),Hispanic/Latino,No,1,1,0,2,47,350,252,Very Well,Female,English,Yes,1,Yes
1495,Single parent (mother figure only),Bi-racial/Multi-racial,No,1,1,0,2,47,300,198,Very Well,Female,English,Yes,4,Yes
1498,Two parent family,Other,Yes,2,1,10400,3,42,180,266,Not Well,Female,Portuguese,Yes,10,Yes
1503,Two parent family,Black or African American,Yes,2,2,27602,4,51,155,262,Very Well,Male,Tigrinya,Yes,1,Yes
1504,Two parent family,Other,Yes,2,2,20958,4,38,185,281,Very Well,Male,Portuguese,Yes,19,Yes
1505,Two parent family,Hispanic/Latino,Yes,2,1,19864,3,42,230,324,Very Well,Female,English,Yes,39,No
1506,Single parent (mother figure only),Black or African American,No,1,2,0,3,34,160,262,,Female,English,No,1,Yes
1510,Single parent (mother figure only),White,Yes,1,2,15600,3,50,380,262,Well,Female,Portuguese,Yes,28,No
1511,Two parent family,Black or African American,No,2,2,0,4,39,170,342,,Female,Creole,Yes,268,No
1512,Single parent (mother figure only),Hispanic/Latino,No,1,2,0,3,34,190,41,Not Well,Female,Spanish,Yes,10,No
1515,Two parent family,Other,No,2,2,0,4,49,250,7,,Male,Arabic,Yes,8,Yes
1523,Single parent (mother figure only),White,No,1,1,0,2,44,480,52,Very Well,Female,English,Yes,19,Yes
1524,Two parent family,Asian,Yes,2,1,22975,3,41,45,248,,Male,Nepali,Yes,232,No
1525,Two parent family,Other,Yes,2,2,13260,4,48,210,286,Well,Female,Portuguese,Yes,39,Yes
1530,Two parent family,Hispanic/Latino,Yes,2,3,29200,5,48,195,17,Very Well,Male,Spanish,Yes,8,No
1531,Two parent family,Hispanic/Latino,Yes,2,2,16900,4,43,220,123,Not At All,Male,Spanish,Yes,8,Yes
1539,Two parent family,Asian,No,2,3,0,5,40,180,266,,Female,Bengali,Yes,160,No
1542,Two parent family,Asian,Yes,2,2,59979,4,49,55,167,Very Well,Male,English,Yes,17,No
1543,Two parent family,White,Yes,2,2,35677,4,34,95,324,Very Well,Female,English,Yes,9,No
1547,Two parent family,White,Yes,2,2,47980,4,37,55,7,Well,Male,Arabic,Yes,1,No
1553,Two parent family,Hispanic/Latino,Yes,2,2,28080,4,30,455,152,,Female,Spanish,Yes,119,Yes
1556,Two parent family,Hispanic/Latino,Yes,2,4,22339,6,46,240,265,,Female,Spanish,Yes,216,No
1557,Two parent family,Hispanic/Latino,No,2,4,0,6,34,200,265,Very Well,Male,English,Yes,31,No
1558,Two parent family,Other,Yes,2,1,11642,3,41,160,188,Not Well,Male,Portuguese,Yes,15,No
1559,Single parent (mother figure only),Hispanic/Latino,No,1,2,0,3,41,170,260,Very Well,Female,English,Yes,21,No
1560,Single parent (mother figure only),Hispanic/Latino,No,1,1,0,2,31,220,267,Not At All,Female,Spanish,Yes,37,No
1562,Two parent family,Asian,Yes,2,2,43701,4,39,35,247,Very Well,Male,Chinese,Yes,3,No
1563,Single parent (mother figure only),White,No,1,2,0,3,30,180,28,Very Well,Female,English,Yes,21,No
1564,Two parent family,White,Yes,2,1,0,3,67,465,267,Very Well,Male,English,Yes,46,No
1565,Single parent (mother figure only),White,Yes,1,1,12939,2,40,145,123,Very Well,Female,English,Yes,2,Yes
1566,Two parent family,Asian,No,2,1,0,3,39,170,88,Well,Male,Hindi,Yes,28,No
1567,Two parent family,Asian,Yes,2,1,45813,3,42,210,213,,Male,Other,Yes,28,No
1568,Single parent (mother figure only),White,No,1,1,0,2,48,370,255,Very Well,Female,Portuguese,Yes,17,No
1569,Two parent family,Black or African American,Yes,2,1,35757,3,39,75,308,Very Well,Male,Creole,Yes,6,No
1570,Two parent family,Bi-racial/Multi-racial,Yes,2,2,0,4,43,220,33,Well,Female,Portuguese,No,21,Yes
1571,Two parent family,White,Yes,2,3,36668,5,47,55,255,Very Well,Male,English,Yes,2,No
1572,Single parent (mother figure only),,Yes,1,4,34800,5,42,295,255,,Female,,Yes,24,No
1573,Single parent (mother figure only),Black or African American,No,1,1,0,2,36,180,253,Very Well,Female,English,Yes,8,No
1574,Single parent (mother figure only),Bi-racial/Multi-racial,Yes,1,1,35112,2,32,190,339,Very Well,Female,English,Yes,204,No
1575,Single parent (mother figure only),Hispanic/Latino,Yes,1,1,14040,2,34,305,71,Not At All,Female,Spanish,Yes,4,No
1577,Two parent family,Black or African American,Yes,2,1,0,3,35,270,194,,Female,Creole,Yes,11,Yes
1578,Two parent family,Asian,Yes,2,2,13774,4,44,170,238,Very Well,Male,Urdu,Yes,2,No
1579,Single parent (mother figure only),Hispanic/Latino,Yes,1,3,18448,4,34,185,120,Well,Female,English,Yes,28,Yes
1580,Two parent family,Asian,No,2,1,0,3,44,220,230,Not Well,Male,Nepali,Yes,37,No
1581,Single parent (mother figure only),Black or African American,Yes,1,3,35010,4,54,45,198,Well,Female,Arabic,Yes,1,Yes
1582,Two parent family,Black or African American,Yes,2,3,24194,5,47,155,77,Not Well,Female,Amharic,Yes,2,No
1583,Two parent family,Asian,Yes,2,1,16458,3,40,185,267,Well,Male,Bengali,Yes,19,No
1586,Two parent family,Black or African American,Yes,2,2,21215,4,52,145,133,Very Well,Male,Tigrinya,Yes,9,No
1588,Single parent (mother figure only),Hispanic/Latino,Yes,1,1,39441,2,34,190,275,Not At All,Female,Spanish,Yes,29,No
1591,Single parent (mother figure only),Black or African American,No,1,2,0,3,36,200,140,Very Well,Female,English,Yes,1,Yes
1592,Single parent (mother figure only),Black or African American,No,1,2,0,3,34,200,285,Well,Female,English,Yes,10,Yes
1593,Two parent family,Asian,No,3,3,0,6,39,85,79,Well,Female,Bengali,Yes,33,No
1594,Single parent (mother figure only),Black or African American,No,1,1,0,2,35,260,192,Well,Female,Creole,Yes,24,No
1595,Two parent family,Hispanic/Latino,Yes,2,1,18720,3,40,195,147,Well,Female,English,Yes,11,No
1596,Two parent family,Other,Yes,2,1,16640,3,35,205,85,Not Well,Female,Nepali,Yes,7,No
1600,Two parent family,Asian,Yes,2,2,27680,4,42,95,267,Not Well,Female,Nepali,Yes,10,No
1602,Two parent family,Asian,Yes,1,1,51000,2,40,65,267,Very Well,Male,Punjabi,Yes,72,No
1604,Single parent (father figure only),Hispanic/Latino,No,1,1,0,2,43,220,133,Well,Male,Spanish,Yes,18,No
1605,Two parent family,White,No,2,1,0,3,66,290,108,Very Well,Female,English,No,7,No
1607,Two parent family,Black or African American,Yes,2,1,23636,3,38,115,43,Very Well,Male,Amharic,Yes,2,No
1608,Two parent family,Hispanic/Latino,Yes,2,1,48743,3,43,205,267,Well,Male,Spanish,No,31,No
1611,Two parent family,Asian,Yes,2,2,22000,4,49,195,345,Very Well,Male,Nepali,Yes,24,Yes
1612,Two parent family,Asian,Yes,4,3,15730,7,50,280,77,Very Well,Male,Bengali,Yes,1,No
1614,Single parent (mother figure only) living w/partner,Other,Yes,1,2,16640,3,41,185,267,Well,Female,Portuguese,Yes,16,No
1615,Two parent family,Hispanic/Latino,No,2,3,0,5,28,420,342,,Female,English,Yes,267,No
1617,Two parent family,Hispanic/Latino,No,2,5,0,7,39,230,267,Very Well,Female,Spanish,Yes,71,No
1620,Single parent (mother figure only),Hispanic/Latino,Yes,1,4,35253,5,43,180,80,Very Well,Female,English,Yes,1,Yes
1621,Two parent family,Asian,Yes,2,2,15285,4,48,160,265,,Male,Bengali,No,286,No
1622,Two parent family,Black or African American,Yes,2,2,29459,4,43,10,267,,Male,Amharic,Yes,136,No
1629,Two parent family,White,Yes,1,4,37800,5,41,220,81,,Female,English,Yes,75,No
1631,Single parent (mother figure only),Other,Yes,1,2,27800,3,44,185,266,Very Well,Female,Portuguese,Yes,8,Yes
1632,Two parent family,Black or African American,Yes,2,2,41195,4,45,65,267,Very Well,Female,English,Yes,13,No
1635,Two parent family,Asian,Yes,2,1,30160,3,45,65,297,Well,Male,Nepali,No,9,Yes
1636,Two parent family,Asian,Yes,2,3,23467,5,48,175,267,Well,Male,Nepali,Yes,19,No
1637,Two parent family,Asian,No,3,2,0,5,39,95,266,Well,Male,Gujarati,Yes,240,No
1638,Single parent (mother figure only),Black or African American,Yes,1,1,0,2,34,250,256,Very Well,Female,English,No,39,No
1640,Two parent family,Asian,Yes,2,1,18186,3,43,80,267,Very Well,Male,Bengali,Yes,11,No
1646,Single parent (mother figure only),Hispanic/Latino,Yes,1,1,31546,2,34,55,267,Very Well,Female,English,Yes,13,Yes
1650,Two parent family,Asian,No,2,1,0,3,38,20,249,Very Well,Female,Gujarati,Yes,216,No
1651,Two parent family,Other,Yes,2,1,18506,3,43,175,267,Very Well,Male,Portuguese,Yes,19,No
1652,Two parent family,White,Yes,2,2,0,4,38,240,77,Well,Female,Arabic,Yes,65,No
1653,Single parent (mother figure only),Hispanic/Latino,Yes,3,2,46364,5,38,190,267,Not At All,Female,Spanish,Yes,176,No
1654,Two parent family,Other,Yes,2,1,10800,3,38,210,267,Not Well,Male,Portuguese,Yes,14,No
1656,Single parent (mother figure only),Asian,Yes,1,2,44000,3,44,45,267,Very Well,Female,Other,Yes,268,No
1657,Two parent family,Other,Yes,2,1,28600,3,45,105,267,Not Well,Female,Portuguese,Yes,21,No
1658,Single parent (mother figure only),Black or African American,Yes,1,2,14907,3,43,155,216,Well,Female,Amharic,Yes,9,Yes
1659,Two parent family,Asian,No,2,1,0,3,35,20,262,Well,Female,Bengali,Yes,124,No
1660,Single parent (mother figure only),Hispanic/Latino,No,1,1,0,2,43,145,241,Not At All,Female,Spanish,Yes,23,Yes
1661,Two parent family,Asian,Yes,2,1,23504,3,48,95,344,Well,Male,Nepali,Yes,26,No
1662,Two parent family,Asian,Yes,2,1,34402,3,45,75,267,Well,Female,Punjabi,No,68,No
1665,Single parent (mother figure only),Black or African American,Yes,1,2,12970,3,39,95,267,,Female,Amharic,Yes,228,No
1666,Single parent (mother figure only),Black or African American,Yes,1,1,39998,2,42,65,288,Very Well,Female,English,Yes,1,Yes
1667,Single parent (mother figure only),Black or African American,No,1,1,0,2,32,600,95,,Female,English,Yes,28,Yes
1668,Two parent family,Asian,Yes,2,1,45477,3,42,65,267,Well,Male,Nepali,Yes,16,Yes
1669,Single parent (mother figure only),Black or African American,Yes,1,2,15804,3,45,155,273,Not Well,Female,Creole,Yes,2,Yes
1670,Two parent family,Asian,Yes,2,2,29120,4,37,85,267,Very Well,Male,Gujarati,Yes,56,No
1671,Two parent family,Asian,Yes,2,1,20000,3,50,205,267,Very Well,Male,Nepali,Yes,32,No
1672,Two parent family,Hispanic/Latino,Yes,2,1,17350,3,31,175,267,Not Well,Male,Spanish,Yes,45,No
1673,Single parent (mother figure only),Asian,No,1,1,0,2,42,220,265,,Female,Bengali,Yes,36,No
